PC,Var,Cum
PC1,0.18606286603364827,0.18606286603364827
PC2,0.09149095845991298,0.27755382449356125
PC3,0.0726887185282596,0.35024254302182084
PC4,0.05779057589728169,0.40803311891910254
PC5,0.04162509021487999,0.4496582091339825
PC6,0.03408913251909973,0.48374734165308225
PC7,0.03290101934188946,0.5166483609949717
PC8,0.03226729735320141,0.5489156583481731
PC9,0.031603754368463,0.5805194127166361
PC10,0.030555682307587363,0.6110750950242234
PC11,0.029412857206266737,0.6404879522304902
PC12,0.02899585487015561,0.6694838071006458
PC13,0.028842876794255668,0.6983266838949015
PC14,0.027248603800598303,0.7255752876954998
PC15,0.026130811124248247,0.751706098819748
PC16,0.025660047586469018,0.777366146406217
PC17,0.0241329024096125,0.8014990488158296
PC18,0.02311689478605637,0.824615943601886
PC19,0.022404642553886335,0.8470205861557722
PC20,0.020878058968217962,0.8678986451239902
PC21,0.01914068145594181,0.887039326579932
PC22,0.017786686456027774,0.9048260130359598
PC23,0.016795708251797145,0.9216217212877569
PC24,0.01543674763112463,0.9370584689188816
PC25,0.011994820418559834,0.9490532893374414
PC26,0.011076522534257553,0.9601298118716989
PC27,0.0089407297198918715,0.9690705415915908
PC28,0.007720273636096937,0.9767908152276877
PC29,0.006969490690580101,0.9837603059182678
PC30,0.005546536053259208,0.989306841971527
PC31,0.0043392308886806025,0.9936460728602076
PC32,0.0036430018285381316,0.9972890746887457
PC33,0.002710925311254493,1.0000000000000002
PC34,4.955906784693194e-32,1.0000000000000002
PC35,2.9396294750347554e-32,1.0000000000000002
