variable,loading,abs_loading
gr_liv_area,0.3163331722876432,0.3163331722876432
garage_cars,0.29491431000551604,0.29491431000551604
garage_area,0.2922989249964969,0.2922989249964969
full_bath,0.2735205749373541,0.2735205749373541
x1st_flr_sf,0.27349924494587147,0.27349924494587147
total_bsmt_sf,0.271831386804119,0.271831386804119
tot_rms_abv_grd,0.25749694840937465,0.25749694840937465
year_built,0.24218351112879408,0.24218351112879408
garage_yr_blt,0.223949455332217,0.223949455332217
year_remod_add,0.20992557494877298,0.20992557494877298
mas_vnr_area,0.2037216516466532,0.2037216516466532
fireplaces,0.19203530304840072,0.19203530304840072
